saturn01, 349653.00000, 290854.00000, -19.50000, z, salt
saturn01, 349653.00000, 290854.00000, -19.50000, z, temp 
saturn01, 349653.00000, 290854.00000, -19.50000, z, turbidity 
saturn01, 349653.00000, 290854.00000, -15.0000, z, salt
saturn01, 349653.00000, 290854.00000, -15.0000, z, temp 
saturn01, 349653.00000, 290854.00000, -15.0000, z, turbidity 
saturn01, 349653.00000, 290854.00000, -10.0000, z, salt
saturn01, 349653.00000, 290854.00000, -10.0000, z, temp 
saturn01, 349653.00000, 290854.00000, -10.0000, z, turbidity 
saturn01, 349653.00000, 290854.00000, -5.0000, z, salt
saturn01, 349653.00000, 290854.00000, -5.0000, z, temp 
saturn01, 349653.00000, 290854.00000, -5.0000, z, turbidity 
saturn01, 349653.00000, 290854.00000, -1.0000, z, salt
saturn01, 349653.00000, 290854.00000, -1.0000, z, temp 
saturn01, 349653.00000, 290854.00000, -1.0000, z, turbidity 

